image_count,timestamp,rgb_image,depth_map,point_cloud,notes
10,1730507897280,rgb_0010.png,depth_0010.png,point_cloud_0010.ply,
11,1730507914253,rgb_0011.png,depth_0011.png,point_cloud_0011.ply,
12,1730507933861,rgb_0012.png,depth_0012.png,point_cloud_0012.ply,
13,1730507946400,rgb_0013.png,depth_0013.png,point_cloud_0013.ply,
14,1730507965408,rgb_0014.png,depth_0014.png,point_cloud_0014.ply,
15,1730507994828,rgb_0015.png,depth_0015.png,point_cloud_0015.ply,
16,1730508015931,rgb_0016.png,depth_0016.png,point_cloud_0016.ply,
17,1730508043943,rgb_0017.png,depth_0017.png,point_cloud_0017.ply,
18,1730508060650,rgb_0018.png,depth_0018.png,point_cloud_0018.ply,
19,1730508097733,rgb_0019.png,depth_0019.png,point_cloud_0019.ply,
20,1730508105870,rgb_0020.png,depth_0020.png,point_cloud_0020.ply,
21,1730508128080,rgb_0021.png,depth_0021.png,point_cloud_0021.ply,
22,1730508135950,rgb_0022.png,depth_0022.png,point_cloud_0022.ply,
23,1730508145420,rgb_0023.png,depth_0023.png,point_cloud_0023.ply,
24,1730508151524,rgb_0024.png,depth_0024.png,point_cloud_0024.ply,
25,1730508165696,rgb_0025.png,depth_0025.png,point_cloud_0025.ply,
26,1730508171998,rgb_0026.png,depth_0026.png,point_cloud_0026.ply,
27,1730508176600,rgb_0027.png,depth_0027.png,point_cloud_0027.ply,
28,1730508182971,rgb_0028.png,depth_0028.png,point_cloud_0028.ply,
29,1730508189107,rgb_0029.png,depth_0029.png,point_cloud_0029.ply,
30,1730508194076,rgb_0030.png,depth_0030.png,point_cloud_0030.ply,
31,1730508205814,rgb_0031.png,depth_0031.png,point_cloud_0031.ply,
32,1730508212017,rgb_0032.png,depth_0032.png,point_cloud_0032.ply,
33,1730508216885,rgb_0033.png,depth_0033.png,point_cloud_0033.ply,
34,1730508222487,rgb_0034.png,depth_0034.png,point_cloud_0034.ply,
35,1730508252034,rgb_0035.png,depth_0035.png,point_cloud_0035.ply,
36,1730508260271,rgb_0036.png,depth_0036.png,point_cloud_0036.ply,
37,1730508274877,rgb_0037.png,depth_0037.png,point_cloud_0037.ply,
38,1730508283914,rgb_0038.png,depth_0038.png,point_cloud_0038.ply,
39,1730508304491,rgb_0039.png,depth_0039.png,point_cloud_0039.ply,
40,1730508313895,rgb_0040.png,depth_0040.png,point_cloud_0040.ply,
41,1730508321532,rgb_0041.png,depth_0041.png,point_cloud_0041.ply,
42,1730508328934,rgb_0042.png,depth_0042.png,point_cloud_0042.ply,
43,1730508340539,rgb_0043.png,depth_0043.png,point_cloud_0043.ply,
44,1730508347843,rgb_0044.png,depth_0044.png,point_cloud_0044.ply,
45,1730508362018,rgb_0045.png,depth_0045.png,point_cloud_0045.ply,
46,1730508376989,rgb_0046.png,depth_0046.png,point_cloud_0046.ply,
47,1730508384959,rgb_0047.png,depth_0047.png,point_cloud_0047.ply,
48,1730508392396,rgb_0048.png,depth_0048.png,point_cloud_0048.ply,
49,1730508409104,rgb_0049.png,depth_0049.png,point_cloud_0049.ply,
50,1730508423876,rgb_0050.png,depth_0050.png,point_cloud_0050.ply,
51,1730508436114,rgb_0051.png,depth_0051.png,point_cloud_0051.ply,
52,1730508445057,rgb_0052.png,depth_0052.png,point_cloud_0052.ply,
53,1730508454857,rgb_0053.png,depth_0053.png,point_cloud_0053.ply,
54,1730508464694,rgb_0054.png,depth_0054.png,point_cloud_0054.ply,
55,1730508481668,rgb_0055.png,depth_0055.png,point_cloud_0055.ply,
56,1730508488303,rgb_0056.png,depth_0056.png,point_cloud_0056.ply,
57,1730508496175,rgb_0057.png,depth_0057.png,point_cloud_0057.ply,
58,1730508503911,rgb_0058.png,depth_0058.png,point_cloud_0058.ply,
59,1730508545663,rgb_0059.png,depth_0059.png,point_cloud_0059.ply,
60,1730508551932,rgb_0060.png,depth_0060.png,point_cloud_0060.ply,
61,1730508559269,rgb_0061.png,depth_0061.png,point_cloud_0061.ply,
62,1730508583481,rgb_0062.png,depth_0062.png,point_cloud_0062.ply,
63,1730508590616,rgb_0063.png,depth_0063.png,point_cloud_0063.ply,
64,1730508608158,rgb_0064.png,depth_0064.png,point_cloud_0064.ply,
65,1730508615593,rgb_0065.png,depth_0065.png,point_cloud_0065.ply,
66,1730508622130,rgb_0066.png,depth_0066.png,point_cloud_0066.ply,
67,1730508628232,rgb_0067.png,depth_0067.png,point_cloud_0067.ply,
68,1730508634135,rgb_0068.png,depth_0068.png,point_cloud_0068.ply,
69,1730508643872,rgb_0069.png,depth_0069.png,point_cloud_0069.ply,
70,1730508650076,rgb_0070.png,depth_0070.png,point_cloud_0070.ply,
71,1730508655478,rgb_0071.png,depth_0071.png,point_cloud_0071.ply,
72,1730508660123,rgb_0072.png,depth_0072.png,point_cloud_0072.ply,
73,1730508666559,rgb_0073.png,depth_0073.png,point_cloud_0073.ply,
74,1730508674796,rgb_0074.png,depth_0074.png,point_cloud_0074.ply,
